department,internal_id,last_sold,name,price,properties,quantity,tags,upc
LIQUOR,,2019-08-08 00:00:00,Sea Ice 50ml,1.07,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",NULL,high_margin,088004028268
LIQUOR,,2019-04-17 00:00:00,Dr Mcgillicuddy's 375ml Liqueur 375ml,10.89,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,088004144067
LIQUOR,,2019-04-28 00:00:00,Dr McGillicuddy Mint 50ml Liqueur,1.07,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,high_margin,088004144081
LIQUOR,,2019-07-22 00:00:00,Dr.McGillicuddy's Mentholmint 750ml Liqueur,21.79,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,088004144449
LIQUOR,,2019-07-18 00:00:00,Fireball Cinnamon Whisky Whiskey,21.79,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,088004144692
LIQUOR,,2019-04-22 00:00:00,Fireball Cinnamon 50ml Whisky 50ml,1.07,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,high_margin,088004144708
LIQUOR,,2019-07-31 00:00:00,Fireball 375ml Liqueur,10.89,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,088004144722
LIQUOR,,2019-08-08 00:00:00,Fireball 200ml Liqueur 200ml,6.53,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,088004144739
LIQUOR,,2019-06-16 00:00:00,Ciroc Snap Frost Vodka 750ml,32.69,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,088076161863
LIQUOR,,2019-08-03 00:00:00,Ciroc Vodka Vodka 375ml,20.7,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,088076162655
LIQUOR,,2020-03-23 00:00:00,Johnnie Walker Red Label Scotch 1.75L,37.05,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,088076163164
LIQUOR,,2019-11-15 00:00:00,Glenkinchie 12 Years 750ml Scotch,65.39,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,088076171459
LIQUOR,,2019-08-06 00:00:00,Ciroc Coconut Vodka 750ml,32.69,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,088076174955
LIQUOR,,2019-04-19 00:00:00,Ciroc Peach Vodka 375ml,20.7,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,088076177390
LIQUOR,,2020-04-23 00:00:00,Gold Label 750ml Johnnie Walker,98.09,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",NULL,low_margin,088076178243
LIQUOR,,2019-03-19 00:00:00,Ciroc Pineapple Vodka 750ml,32.69,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,088076179080
LIQUOR,,2019-06-29 00:00:00,Ciroc Mango Vodka 750ml,32.69,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,088076180697
LIQUOR,,2019-06-20 00:00:00,Johnnie Walker 12Y Black Scotch 750ml,43.59,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,088076182547
LIQUOR,,2020-04-21 00:00:00,Summer watermelon Ciroc,32.69,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",NULL,low_margin,088076183728
LIQUOR,,2019-11-29 00:00:00,A Song of Fire 750ml Games of thrones,37.05,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",NULL,low_margin,088076184114
LIQUOR,,2019-12-27 00:00:00,A Song of Ice 750ml Games of Thrones,37.05,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",NULL,low_margin,088076184121
LIQUOR,,2019-05-11 00:00:00,Johnnie Walker Black Label Scotch 200ml,16.34,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,088110011130
LIQUOR,,2019-05-11 00:00:00,Johnnie Walker Black Label Scotch 375ml,25.06,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,088110011192
LIQUOR,,2020-04-25 00:00:00,Johnnie Walker Black Label Scotch 750ml,43.59,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,088110011307
LIQUOR,,2019-12-21 00:00:00,Blue Label 750ml Johnnie Walker,217.99,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",NULL,low_margin,088110070052
LIQUOR,,2019-10-09 00:00:00,Dalwhinnie 15 Years 750ml Scotch,68.66,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,088110100056
LIQUOR,,2020-04-03 00:00:00,Lagavulin 16 Years 750ml Scotch,82.83,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,088110140052
LIQUOR,,2020-04-18 00:00:00,Cognac 375ml Hennessy,22.89,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",NULL,low_margin,088110150624
